"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Contrary [[to]] other [[reviews]], I have zero [[complaints]] about the service or the prices. [[I]] [[have]] been getting [[tire]] service here [[for]] the past 5 years [[now]], and compared to my experience with places like Pep Boys, these [[guys]] are experienced and know what they're doing. \nAlso, this is [[one]] place that [[I]] do not feel like I am being [[taken]] [[advantage]] of, [[just]] because of my gender. [[Other]] [[auto]] [[mechanics]] [[have]] been [[notorious]] for capitalizing on my ignorance [[of]] cars, [[and]] [[have]] sucked my bank account dry. [[But]] here, my service and road coverage has all been well explained - and [[let]] up [[to]] me [[to]] [[decide]]. \nAnd they just renovated the waiting room. It looks a lot better than it [[did]] in previous years.","Contrary [[of]] other [[review]], I have zero [[complaint]] about the service or the prices. [[1]] [[has]] been getting [[tyre]] service here [[during]] the past 5 years [[currently]], and compared to my experience with places like Pep Boys, these [[boys]] are experienced and know what they're doing. \nAlso, this is [[1]] place that [[1]] do not feel like I am being [[took]] [[advantages]] of, [[only]] because of my gender. [[others]] [[car]] [[mechanic]] [[has]] been [[famous]] for capitalizing on my ignorance [[to]] cars, [[und]] [[has]] sucked my bank account dry. [[although]] here, my service and road coverage has all been well explained - and [[leave]] up [[of]] me [[of]] [[decided]]. \nAnd they just renovated the waiting room. It looks a lot better than it [[could]] in previous years.",0.005630195140838623,0.6117429733276367,1,0,1,196,"Successful"
"Last summer I had an [[appointment]] to get [[new]] tires and [[had]] [[to]] wait a super [[long]] time. I also went in this week for them to fix a minor problem with a [[tire]] they put on. They \""""fixed\"""" it for free, and the very next morning I [[had]] the [[same]] issue. I called to complain, [[and]] the \""""[[manager]]\"""" [[didn't]] even apologize!!! So [[frustrated]]. Never [[going]] back.  They seem [[overpriced]], too.","Last summer I had an [[appointed]] to get [[newer]] tires and [[have]] [[of]] wait a super [[longer]] time. I also went in this week for them to fix a minor problem with a [[tires]] they put on. They \""""fixed\"""" it for free, and the very next morning I [[have]] the [[identical]] issue. I called to complain, [[und]] the \""""[[administrator]]\"""" [[didn'w]] even apologize!!! So [[disappointed]]. Never [[go]] back.  They seem [[underpravailable]]., too.",0.00023728609085083008,0.0003135204315185547,0,0,0,148,"Failed"
"Friendly staff, same starbucks fair you get [[anywhere]] [[else]].  [[Sometimes]] the lines can get [[long]].","Friendly staff, same starbucks fair you get [[somewhere]] [[elsewhere]].  [[occasionally]] the lines can get [[lengthy]].",0.03641539812088013,0.5755867958068848,1,0,1,27,"Successful"
"[[The]] food is good. [[Unfortunately]] the service is [[very]] hit or [[miss]]. [[The]] main [[issue]] seems to [[be]] with the kitchen, the [[waiters]] and [[waitresses]] are [[often]] very apologetic for the long waits and [[it's]] pretty [[obvious]] that some of them avoid the [[tables]] after [[taking]] the [[initial]] [[order]] to avoid hearing complaints.","[[the]] food is good. [[sadly]] the service is [[much]] hit or [[missed]]. [[the]] main [[matter]] seems to [[are]] with the kitchen, the [[waiterones]] and [[waitressthey]] are [[usually]] very apologetic for the long waits and [[it'n]] pretty [[noticeable]] that some of them avoid the [[table]] after [[take]] the [[original]] [[ordering]] to avoid hearing complaints.",0.013590514659881592,0.2719118595123291,0,0,0,129,"Failed"
"Even when we didn't have a car Filene's Basement was worth the bus trip to the Waterfront. I always find something (usually I find 3-4 things and spend about $60) and better still, I am always still wearing the clothes and shoes 3 months later. \n\nI kind of suspect this is the best shopping in Pittsburgh; it's much better than the usual department stores, better than Marshall's and TJ Maxx and better than the Saks downtown, even when it has a [[sale]]. Selection, bargains AND quality.\n\nI like this Filene's better than Gabriel Brothers, which are harder to get to. Gabriel Brothers are a real discount shopper's challenge and [[I'm]] afraid I didn't live in Pittsburgh long enough to develop the necessary skills . . . Filene's [[was]] [[still]] up and running in June 2007 when I [[left]] [[town]].","Even when we didn't have a car Filene's Basement was worth the bus trip to the Waterfront. I always find something (usually I find 3-4 things and spend about $60) and better still, I am always still wearing the clothes and shoes 3 months later. \n\nI kind of suspect this is the best shopping in Pittsburgh; it's much better than the usual department stores, better than Marshall's and TJ Maxx and better than the Saks downtown, even when it has a [[selling]]. Selection, bargains AND quality.\n\nI like this Filene's better than Gabriel Brothers, which are harder to get to. Gabriel Brothers are a real discount shopper's challenge and [[i'g]] afraid I didn't live in Pittsburgh long enough to develop the necessary skills . . . Filene's [[became]] [[again]] up and running in June 2007 when I [[exited]] [[city]].",0.01689291000366211,0.6093020439147949,1,0,1,170,"Successful"
"Picture Billy [[Joel's]] \""""Piano Man\"""" DOUBLED mixed with beer, a rowdy crowd, and comedy - [[Welcome]] to Sing Sing!  A [[unique]] musical [[experience]] found in Homestead.\n\[[nIf]] you're looking to grab a bite to eat or a beer, come on in!  [[Serving]] food and brews from Rock Bottom [[Brewery]], Sing Sing keeps your tummy full [[while]] you listen to two (or more) amazingly talented [[pianists]] take your musical requests.  [[They'll]] [[play]] anything [[you'd]] [[like]], for tips of course.  Wanting to hear Britney Spears?  [[Toto]]?  Duran Duran?  Yep, they play that... new or old.\n\nThe crowd makes the show, so make sure you come ready for a good time.  [[If]] the crowd is dead, it's harder for the Guys to get a reaction.  If [[you're]] wanting to have some fun, it can be a GREAT time!  It's the perfect place for Birthday parties - especially if you want to embarrass a friend.  The guys will bring them up to the pianos and perform a little ditty.  For being a good sport, you get the coveted Sing Sing bumper sticker.  Now who [[wouldn't]] want that?\n\nDueling Pianos and brews... time to Shut Up & Sing Sing!","Picture Billy [[joel']]: \""""Piano Man\"""" DOUBLED mixed with beer, a rowdy crowd, and comedy - [[welcome]] to Sing Sing!  A [[peculiar]] musical [[experiences]] found in Homestead.\n\[[nigh]] you're looking to grab a bite to eat or a beer, come on in!  [[serve]] food and brews from Rock Bottom [[brewing]], Sing Sing keeps your tummy full [[whilst]] you listen to two (or more) amazingly talented [[pianist-]] take your musical requests.  [[they't]] [[playing]] anything [[you't]] [[likes]], for tips of course.  Wanting to hear Britney Spears?  [[togroup]]?  Duran Duran?  Yep, they play that... new or old.\n\nThe crowd makes the show, so make sure you come ready for a good time.  [[though]] the crowd is dead, it's harder for the Guys to get a reaction.  If [[you've]] wanting to have some fun, it can be a GREAT time!  It's the perfect place for Birthday parties - especially if you want to embarrass a friend.  The guys will bring them up to the pianos and perform a little ditty.  For being a good sport, you get the coveted Sing Sing bumper sticker.  Now who [[wouldn'e]] want that?\n\nDueling Pianos and brews... time to Shut Up & Sing Sing!",0.0092049241065979,0.534347653388977,1,0,1,322,"Successful"
"[[Mediocre]] service. COLD food! Our [[food]] waited so [[long]] the lettuce & [[pickles]] [[wilted]]. Bland food. Crazy [[overpriced]]. Long [[waits]] [[in]] the arcade. 1 beer per hour maximum.  Avoid [[at]] [[all]] costs. Fair manager.",".[[iostandard]] service. COLD food! Our [[foods]] waited so [[longer]] the lettuce & [[pickand]] [[wils]]. Bland food. Crazy [[overpr]]... Long [[waiting]] [[for]] the arcade. 1 beer per hour maximum.  Avoid [[in]] [[every]] costs. Fair manager.",0.0002866387367248535,0.0006292462348937988,0,0,0,93,"Failed"
"Ok! Let me tell you about my bad [[experience]] first. I went to D&B [[last]] night for a post wedding party - which, side note, is a great idea!\n\[[nIt]] was around midnight and the bar [[wasn't]] really populated. There were three [[bartenders]] and only [[one]] was actually making rounds to see if anyone needed anything. The two other [[bartenders]] were chatting on the far side of the bar that no one was sitting at. [[Kind]] [[of]] counter productive if [[you]] [[ask]] me. \n\nI stood there for about 5 minutes, which for a busy bar is fine but when I am the [[only]] one with my [[card]] out then, it [[just]] seems a little ridiculous. I made eye contact with the one girl twice and gave her a smile and she literally turned away. I finally had to walk to them to get their attention.  I was standing right in front of them smiling and they didn't ask if i need anything. I [[finally]] said, \""""Are you working?\"""" and they gave each other a [[weird]] look. I felt like i was the crazy one. I asked for a beer/got the beer.\n\[[nIn]] between that time, the other bartender brought food over and set it down. She took a fry from the plate (right in front of me) and then served it to someone on the other side of the bar. What the hell! I felt like i was in some [[grimy]] bar in out in the sticks - not an established D&B. \n\nI was just really turned off from that [[experience]]. \n\[[nThe]] good is that D&B provides a different [[type]] of [[entertainment]] when you want to mix things up. I [[remember]] going here with my grandparents when I was a [[kid]] and it [[was]] the best treat ever! We would eat at the restaurant and [[then]] [[spend]] hours [[playing]] [[games]]. This place [[holds]] [[some]] really good [[memories]] for me. \n\[[nIt's]] a [[shame]] that my [[experience]] last night has spoiled the high [[standards]] I held for it.","Ok! Let me tell you about my bad [[experiences]] first. I went to D&B [[final]] night for a post wedding party - which, side note, is a great idea!\n\[[niting]] was around midnight and the bar [[wasn'really]] really populated. There were three [[bartenderlines]] and only [[1]] was actually making rounds to see if anyone needed anything. The two other [[bartenderas]] were chatting on the far side of the bar that no one was sitting at. [[sort]] [[to]] counter productive if [[2]] [[asked]] me. \n\nI stood there for about 5 minutes, which for a busy bar is fine but when I am the [[just]] one with my [[cards]] out then, it [[only]] seems a little ridiculous. I made eye contact with the one girl twice and gave her a smile and she literally turned away. I finally had to walk to them to get their attention.  I was standing right in front of them smiling and they didn't ask if i need anything. I [[eventually]] said, \""""Are you working?\"""" and they gave each other a [[curious]] look. I felt like i was the crazy one. I asked for a beer/got the beer.\n\[[niand]] between that time, the other bartender brought food over and set it down. She took a fry from the plate (right in front of me) and then served it to someone on the other side of the bar. What the hell! I felt like i was in some [[grimplace]] bar in out in the sticks - not an established D&B. \n\nI was just really turned off from that [[experiences]]. \n\[[nt]]. good is that D&B provides a different [[sorts]] of [[amusement]] when you want to mix things up. I [[remembers]] going here with my grandparents when I was a [[children]] and it [[became]] the best treat ever! We would eat at the restaurant and [[later]] [[spent]] hours [[play]] [[game]]. This place [[held]] [[certain]] really good [[memory]] for me. \n\[[nit'is]] a [[ashamed]] that my [[experiences]] last night has spoiled the high [[standard]] I held for it.",0.002315998077392578,0.5078216791152954,0,1,0,507,"Successful"
"I [[used]] to [[love]] D&B when it first [[opened]] [[in]] the Waterfront, [[but]] it [[has]] [[gone]] down hill over the years. The [[games]] are not as [[fun]] and [[do]] not give you as many tickets and the [[prizes]] [[have]] gotten cheaper [[in]] quality. It takes a whole heck of a lot [[of]] tickets for you to even get a pencil! The [[atmosphere]] is okay but it used [[to]] [[be]] so much better with the [[funnest]] [[games]] and [[diverse]] groups of people! [[Now]], it is [[run]] down and many of the games [[are]] app [[related]] [[games]] (Fruit Ninja) and [[3D]] [[Experience]] rides. With such \""""[[games]]\"""", you [[can't]] even earn [[tickets]] and they take a lot of [[tokens]]! [[Last]] [[time]] I went, back in the [[winter]], [[many]] [[of]] the games were [[broken]], which made [[for]] a negative player [[experience]]. I would go to D&B to [[play]] [[some]] games again [[in]] the [[future]], but it is [[no]] longer one of my favorite places [[to]] go due to the [[decline]] [[of]] fun [[games]] where you can earn tickets.","I [[use]] to [[loves]] D&B when it first [[started]] [[into]] the Waterfront, [[though]] it [[had]] [[faded]] down hill over the years. The [[game]] are not as [[funny]] and [[doing]] not give you as many tickets and the [[awards]] [[has]] gotten cheaper [[at]] quality. It takes a whole heck of a lot [[to]] tickets for you to even get a pencil! The [[mood]] is okay but it used [[of]] [[are]] so much better with the [[funness]] [[gaming]] and [[different]] groups of people! [[nowadays]], it is [[running]] down and many of the games [[be]] app [[connected]] [[gaming]] (Fruit Ninja) and [[fun]] [[experiences]] rides. With such \""""[[gaming]]\"""", you [[can're]] even earn [[ticket]] and they take a lot of [[tokentimes]]! [[last]] [[times]] I went, back in the [[winters]], [[several]] [[to]] the games were [[broke]], which made [[in]] a negative player [[experiences]]. I would go to D&B to [[playing]] [[certain]] games again [[at]] the [[upcoming]], but it is [[not]] longer one of my favorite places [[of]] go due to the [[decrease]] [[to]] fun [[gaming]] where you can earn tickets.",0.0011259913444519043,0.1243896484375,0,0,0,381,"Failed"
"Like [[any]] Barnes & Noble, it [[has]] a nice comfy cafe, and a large selection of books.  The [[staff]] is [[very]] friendly and helpful.  [[They]] stock a decent selection, and the [[prices]] are pretty reasonable.  [[Obviously]] [[it's]] [[hard]] for them [[to]] compete with [[Amazon]].  [[However]] since all the small shop [[bookstores]] are [[gone]], [[it's]] nice [[to]] walk [[into]] one [[every]] once [[in]] a while.","Like [[every]] Barnes & Noble, it [[had]] a nice comfy cafe, and a large selection of books.  The [[employees]] is [[quite]] friendly and helpful.  [[they]] stock a decent selection, and the [[price]] are pretty reasonable.  [[clearly]] [[it'means]] [[difficult]] for them [[of]] compete with [[oclc]].  [[though]] since all the small shop [[bookstorecenters]] are [[disappeared]], [[it't]] nice [[of]] walk [[in]] one [[any]] once [[during]] a while.",0.0005090236663818359,0.10476738214492798,1,1,1,152,"Failed"
"Meh, I've experienced [[better]] is an understatement.\n\[[nFriday's]] is like the \""""fine [[dining]] chain\"""" for every [[yinzer]] in Pittsburgh...\n\[[n1]].  When we [[were]] [[seated]], it was quick which was a surprise.  Somehow this [[restaurant]] gets packed and I never [[understand]] why.  I [[was]] happy about that.\[[n2]].  I ordered one of their \""""skinny margaritas\"""", [[blackberry]] to be exact.  It was a nice [[size]], [[however]], [[at]] $[[6]].[[00]]/pop, that [[was]] half [[of]] my [[food]] bill.\[[n3]].  The waitress [[started]] off [[attentive]], [[but]] [[after]] our food came out she [[was]] gone.  I ordered a turkey burger with [[pickle]] and mustard.  Loaded [[mashed]] potato [[on]] the side because I wanted [[heartburn]] ha!\[[n4]].  Food came.  My [[burger]] had [[lettuce]] [[on]] it only.  [[Waitress]] [[was]] supposed [[to]] go and get our next round of drinks.  I had [[to]] [[wait]] to [[ask]] [[for]] my [[pickle]].\[[n5]].  The [[loaded]] potatoes were more like rubber than potatoes and not what I [[was]] [[expecting]].  Disappointment.\[[n6]].  The waitress then went into oblivion and only [[returned]] with [[our]] [[check]].  \n\[[nNever]] again will I [[eat]] at [[Friday's]].  I will, [[however]], go [[should]] a happy [[hour]] [[arise]]...","Meh, I've experienced [[best]] is an understatement.\n\[[nfriday'z]] is like the \""""fine [[eating]] chain\"""" for every [[yinpizza]] in Pittsburgh...\n\[[n]]!.  When we [[was]] [[sitting]], it was quick which was a surprise.  Somehow this [[restaurants]] gets packed and I never [[comprehend]] why.  I [[became]] happy about that.\[[nii]].  I ordered one of their \""""skinny margaritas\"""", [[ipad]] to be exact.  It was a nice [[sized]], [[though]], [[for]] $[[12]].[[000]]/pop, that [[were]] half [[to]] my [[meal]] bill.\[[n]]).  The waitress [[starts]] off [[attenquiet]], [[although]] [[then]] our food came out she [[were]] gone.  I ordered a turkey burger with [[picken]] and mustard.  Loaded [[masthe]] potato [[onto]] the side because I wanted [[heart-]] ha!\[[n]]..  Food came.  My [[hamburger]] had [[lettuon]] [[onto]] it only.  [[bartender]] [[were]] supposed [[of]] go and get our next round of drinks.  I had [[of]] [[waits]] to [[asking]] [[at]] my [[pickon]].\[[n]]..  The [[loading]] potatoes were more like rubber than potatoes and not what I [[were]] [[expect]].  Disappointment.\[[n2]].  The waitress then went into oblivion and only [[returns]] with [[ours]] [[checking]].  \n\[[nnew]] again will I [[eating]] at [[friday'place]].  I will, [[nonetheless]], go [[would]] a happy [[hours]] [[occur]]...",0.00046253204345703125,0.005149662494659424,0,0,0,557,"Failed"
"Unos [[has]] been around [[for]] ever, & [[I]] feel like this [[restaurant]] chain peak [[in]] popularity [[in]] the 80's. Honestly the decor [[inside]] still kind of looks 80s [[to]] me even though its nice with sleek booth and exposed brick.\n\nIf you [[haven't]] [[died]] and he recently I ordered you to come back and have a [[meal]] here again because [[honestly]] the food is really [[quite]] [[good]]!\n\nThey [[have]] the best chicken salad [[wrap]] ever! I [[love]] that rap so [[much]] I want agreed to walk the south side River Trail from where the [[Steelers]] practice all the way [[to]] the damn waterfront [[just]] because [[I]] knew that I [[could]] [[convince]] my boyfriend [[to]] go to Unos with me [[for]] lunch.  [[Full]] [[disclosure]]:  I made him call is a cab and we [[took]] a [[taxi]] back to the parking lot after lunch.\n\nListen... The food and [[pizza]] and service are [[very]] [[good]], [[surprisingly]] so! [[I]] [[don't]] know why this place is not busier but next [[time]] you're down [[at]] the Waterfront please [[do]] [[consider]] dining here!","Unos [[had]] been around [[during]] ever, & [[i]] feel like this [[dining]] chain peak [[at]] popularity [[during]] the 80's. Honestly the decor [[interior]] still kind of looks 80s [[of]] me even though its nice with sleek booth and exposed brick.\n\nIf you [[haven'n]] [[dead]] and he recently I ordered you to come back and have a [[lunch]] here again because [[truly]] the food is really [[rather]] [[well]]!\n\nThey [[had]] the best chicken salad [[wrapping]] ever! I [[loved]] that rap so [[very]] I want agreed to walk the south side River Trail from where the [[redskins]] practice all the way [[of]] the damn waterfront [[only]] because [[1]] knew that I [[would]] [[persuade]] my boyfriend [[of]] go to Unos with me [[during]] lunch.  [[full]] [[2]]:  I made him call is a cab and we [[taken]] a [[cab]] back to the parking lot after lunch.\n\nListen... The food and [[pie]] and service are [[quite]] [[well]], [[remarkably]] so! [[1]] [[don'm]] know why this place is not busier but next [[times]] you're down [[for]] the Waterfront please [[doing]] [[considering]] dining here!",0.0030041933059692383,0.5471568703651428,1,0,1,307,"Successful"
"Stars are [[for]] the food only.    [[2]].5 rating\n\[[nGot]] there [[at]] [[8pm]] on Saturday night, they [[told]] us it was an [[hour]] wait which was expected, but it only took [[30minutes]] [[to]] be [[seated]] so that was a bonus.  [[Started]] off with the [[lettuce]] wraps and i [[used]] [[to]] be a fan of these [[but]] they [[just]] seem [[to]] bore me now([[FYI-love]] the [[lettuce]] wraps at the [[cheesecake]] [[factory]]).  I had the Singapore rice noodles.  This was so so as i [[thought]] immediately that lu lu noodles and asian [[cafe]] are [[better]].  The fried rice was disappointing and the [[vegetables]] tasted raw.   Some good [[notes]] [[were]] the Dynamite shrimp, plump, juicy, [[tangy]] with a [[small]] kick.    Sweet and sour chicken [[was]] [[just]] the same minus the [[kick]]. \n\[[nThe]] service was annoying.   We were there less [[than]] [[45]] minutes and it [[seemed]] like our [[waiter]] [[was]] [[in]] a rush [[to]] get us out [[of]] there.   [[Constantly]] [[asking]] if [[he]] could [[remove]] my [[plate]].  I had [[to]] [[sternly]] say at one point that I will let you know [[when]] i am finished.  I found it rude especially since  there [[wasn't]] even a line [[at]] this point.  \n\nI [[think]] we will travel elsewhere following a [[movie]].  The result never quite met the anticipation.","Stars are [[at]] the food only.    [[a]].5 rating\n\[[ngo]]. there [[in]] [[8ham]] on Saturday night, they [[said]] us it was an [[hours]] wait which was expected, but it only took [[30minutesm]] [[of]] be [[seat]] so that was a bonus.  [[beginning]] off with the [[lettuca]] wraps and i [[use]] [[of]] be a fan of these [[although]] they [[only]] seem [[of]] bore me now([[fyi-want]] the [[lettuty]] wraps at the [[cheeseand]] [[factories]]).  I had the Singapore rice noodles.  This was so so as i [[figured]] immediately that lu lu noodles and asian [[coffee]] are [[best]].  The fried rice was disappointing and the [[vegetable]] tasted raw.   Some good [[note]] [[was]] the Dynamite shrimp, plump, juicy, [[tangstrong]] with a [[minimal]] kick.    Sweet and sour chicken [[were]] [[only]] the same minus the [[kicking]]. \n\[[ntthis]] service was annoying.   We were there less [[then]] [[90]] minutes and it [[looked]] like our [[bartender]] [[were]] [[into]] a rush [[of]] get us out [[to]] there.   [[always]] [[ask]] if [[him]] could [[removal]] my [[plates]].  I had [[of]] [[idi]] say at one point that I will let you know [[whenever]] i am finished.  I found it rude especially since  there [[wasn's]] even a line [[during]] this point.  \n\nI [[thought]] we will travel elsewhere following a [[movies]].  The result never quite met the anticipation.",0.0003514289855957031,0.004984796047210693,0,0,0,571,"Failed"
"[[Our]] last few visits [[have]] left something to desire, One of the things I [[always]] notice is the demeanor of an [[establishments]] [[employees]]. These people look miserable, no [[one]] [[smiles]] or [[greets]] you appropriately, [[it's]] more like [[get]] [[in]], [[get]] out, turn the [[tables]],\n\[[nThe]] food has [[remained]] consistently good... [[when]] we can [[order]] it. the last time [[JB]] and I came for a quick [[dinner]], the place [[was]] [[not]] busy yet we [[were]] passed by [[6]] frowning [[waitstaff]] without getting drinks... for [[15]] minutes we were left [[suiting]] [[at]] our [[table]] with our [[menus]] [[closed]] and [[sitting]] [[on]] the edge of the [[table]] (HINT, HINT) so we [[left]] and most likely will [[not]] [[be]] returning.","[[our]] last few visits [[has]] left something to desire, One of the things I [[constantly]] notice is the demeanor of an [[establishment]] [[personnel]]. These people look miserable, no [[1]] [[grins]] or [[greetbs]] you appropriately, [[it'n]] more like [[gets]] [[into]], [[gets]] out, turn the [[table]],\n\[[nt]]. food has [[remains]] consistently good... [[whenever]] we can [[ordering]] it. the last time [[jy]] and I came for a quick [[breakfast]], the place [[were]] [[no]] busy yet we [[was]] passed by [[some]] frowning [[waitsstands]] without getting drinks... for [[2]] minutes we were left [[suitly]] [[for]] our [[tables]] with our [[menuete]] [[close]] and [[sit]] [[onto]] the edge of the [[tables]] (HINT, HINT) so we [[exited]] and most likely will [[no]] [[are]] returning.",0.0003069639205932617,0.4301604628562927,0,0,0,307,"Failed"
"[[Good]] quality pork fried dumpling and mongo beef.  Bar service [[was]] fast and [[Efficent]].   [[Good]] [[value]].  Not a 5 cause dragon eye tea was cold [[first]] time around and beef had [[minor]] [[amount]] of fat.   Fortune was even Postive!","[[well]] quality pork fried dumpling and mongo beef.  Bar service [[were]] fast and [[upffieffective]].   [[well]] [[values]].  Not a 5 cause dragon eye tea was cold [[1st]] time around and beef had [[small]] [[amounts]] of fat.   Fortune was even Postive!",0.003895878791809082,0.6577701568603516,1,0,1,72,"Successful"
"[[Very]] bad [[purchase]] [[experience]]. I [[bought]] a [[shirt]] with a hole covered [[in]] the rolled up sleeves, [[but]] they [[denied]] my [[request]] [[to]] [[return]] it. I am so angery at this and will never [[shop]] their chothes anymore.","[[much]] bad [[buy]] [[experiences]]. I [[buy]] a [[jacket]] with a hole covered [[for]] the rolled up sleeves, [[though]] they [[deny]] my [[demand]] [[of]] [[returning]] it. I am so angery at this and will never [[store]] their chothes anymore.",0.00028187036514282227,0.0006594061851501465,0,0,0,77,"Failed"
